source_node,target_node,correlation_weight
CS_PY_SYNTAX,CS_PY_VARIABLES,0.85
CS_PY_SYNTAX,CS_PY_CONDITIONALS,0.70
CS_PY_VARIABLES,CS_PY_CONDITIONALS,0.75
CS_PY_CONDITIONALS,CS_PY_LOOPS,0.80
CS_PY_VARIABLES,CS_PY_LISTS_DICTS,0.85
CS_PY_LOOPS,CS_PY_LISTS_DICTS,0.78
CS_PY_FUNCTIONS,CS_PY_OOPS,0.82
CS_PY_SYNTAX,CS_PY_FUNCTIONS,0.80
CS_PY_OOPS,CS_PY_EXCEPTIONS,0.65
CS_PY_FILE_IO,CS_PY_EXCEPTIONS,0.70
CS_PY_FUNCTIONS,CS_PY_FILE_IO,0.60
CS_PY_SYNTAX,CS_PY_LIBRARIES,0.50
CS_PY_VARIABLES,CS_PY_OOPS,0.60
CS_PY_LOOPS,CS_PY_OOPS,0.55
CS_PY_FUNCTIONS,CS_PY_LIBRARIES,0.75
